id,symbol,side,timeframe,regime,score,rsi,adx,atr,entry_price,stop_loss,take_profit,rr_ratio,status,invalidation_reason,sent_at,outcome
29,TRX,LONG,4h,BULL_STACK,6.8,81.95,44.24,0.0018377904983450633,0.33732795,0.33451240611775435,0.342451661070605,1.82,INVALIDATED,Timing de entrada perdido,1777813529,FAIL
28,XLM,SHORT,4h,BEAR_STACK,7.45,40.51,18.76,0.0011721737788542306,0.15890646,0.1611507549767932,0.1560869642521429,1.26,INVALIDATED,Timing de entrada perdido,1777800060,FAIL
26,TON,LONG,4h,BULL_STACK,6.85,56.16,21.19,0.011553499217456697,1.33841803,1.3192554316871938,1.3650072885883224,1.39,INVALIDATED,Timing de entrada perdido,1777789499,FAIL
27,XLM,SHORT,4h,BEAR_STACK,6.2,35.25,18.6,0.0011933977931625876,0.15866589,0.16029269660970266,0.15578165295154808,1.77,INVALIDATED,Timing de entrada perdido,1777789499,FAIL
25,XLM,SHORT,4h,BEAR_STACK,6.2,39.35,21.63,0.001209094707667777,0.15978086,0.1618045591823084,0.15658127004518357,1.58,INVALIDATED,Timing de entrada perdido,1777733060,FAIL
24,XLM,SHORT,4h,BEAR_STACK,6.8,39.2,22.13,0.0012696537838252616,0.1594465,0.161888792178312,0.15640388783218687,1.25,INVALIDATED,Timing de entrada perdido,1777712659,FAIL
23,DOT,SHORT,4h,BEAR_STACK,7.05,41.4,17.98,0.011200536841031172,1.20428454,1.220099996917416,1.177761967658318,1.68,INVALIDATED,Timing de entrada perdido,1777712658,FAIL
22,DOT,SHORT,4h,BEAR_STACK,6.8,42.57,18.01,0.011551231286557427,1.20908635,1.2249032962710729,1.1812396420078857,1.76,INVALIDATED,Timing de entrada perdido,1777689144,FAIL
21,XLM,SHORT,4h,BEAR_STACK,8.55,40.19,23.44,0.001347015965412813,0.15971552,0.1623443393724717,0.15616153609122685,1.35,INVALIDATED,Timing de entrada perdido,1777689143,FAIL
20,DOT,SHORT,4h,BEAR_STACK,7.35,46.69,19.21,0.012179057173596236,1.21057817,1.235415283593503,1.1828017566035671,1.12,INVALIDATED,Timing de entrada perdido,1777654587,FAIL
19,DOT,SHORT,4h,BEAR_STACK,6.55,38.62,20.13,0.011613329198146114,1.20797595,1.2199692052797753,1.176070820910783,2.66,INVALIDATED,Timing de entrada perdido,1777641322,FAIL
18,TRX,LONG,4h,MIXED,7.55,59.24,22.16,0.0008124006237405889,0.32608549,0.3244629019352746,0.3281918207982438,1.3,INVALIDATED,Timing de entrada perdido,1777617327,FAIL
17,DOT,SHORT,4h,BEAR_STACK,7.6,42.28,18.79,0.013141193533905913,1.21144968,1.2342204185662902,1.1774504624998166,1.49,INVALIDATED,Timing de entrada perdido,1777576677,FAIL
